2026-04-22 07:42:49.347 | INFO     | controllers.sentiment_controller:analyse_sentiment:27 - Requête 9951e62b-e408-440a-85c0-21c1f4fb4032 : texte à analyser = 'bad'
2026-04-22 07:42:49.347 | INFO     | controllers.sentiment_controller:analyse_sentiment:36 - Requête 9951e62b-e408-440a-85c0-21c1f4fb4032 : Résultat = {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}
2026-04-22 07:44:15.161 | INFO     | controllers.sentiment_controller:home:20 - Test api
2026-04-22 07:44:15.163 | INFO     | controllers.sentiment_controller:home:20 - Test api
2026-05-11 05:49:50.846 | INFO     | controllers.sentiment_controller:home:20 - Test api
2026-05-11 05:50:45.452 | INFO     | controllers.sentiment_controller:analyse_sentiment:27 - Requête f1864697-0feb-4b83-b735-e6f2a3d480de : texte à analyser = 'I hate trump'
2026-05-11 05:50:45.453 | INFO     | controllers.sentiment_controller:analyse_sentiment:36 - Requête f1864697-0feb-4b83-b735-e6f2a3d480de : Résultat = {'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.5719}
2026-05-11 10:14:43.470 | INFO     | controllers.sentiment_controller:home:20 - Test api
2026-05-11 10:16:47.539 | INFO     | controllers.sentiment_controller:home:21 - Test api
2026-05-11 11:31:14.866 | INFO     | controllers.sentiment_controller:home:29 - Test api
2026-05-11 16:21:50.340 | INFO     | controllers.sentiment_controller:home:29 - Test api
2026-05-11 17:02:23.021 | INFO     | controllers.sentiment_controller:home:29 - Test api
2026-05-12 11:21:49.845 | INFO     | controllers.sentiment_controller:home:29 - Test api
2026-05-12 11:22:21.591 | INFO     | controllers.sentiment_controller:analyse_sentiment:35 - Requête 97daa61d-2344-4cd5-9c3c-3ab90dbd3e46 : texte à analyser = 'salaud'
2026-05-12 11:22:21.591 | INFO     | controllers.sentiment_controller:analyse_sentiment:44 - Requête 97daa61d-2344-4cd5-9c3c-3ab90dbd3e46 : Résultat = {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2026-05-12 11:22:33.264 | INFO     | controllers.sentiment_controller:analyse_sentiment:35 - Requête 5f92cf7c-5508-4979-8ecf-edb0d4eac4a0 : texte à analyser = 'bullshit'
2026-05-12 11:22:33.264 | INFO     | controllers.sentiment_controller:analyse_sentiment:44 - Requête 5f92cf7c-5508-4979-8ecf-edb0d4eac4a0 : Résultat = {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5859}
2026-05-12 11:28:42.155 | INFO     | controllers.sentiment_controller:analyse_sentiment:35 - Requête 96235ef0-466b-458e-b272-f186acf968b9 : texte à analyser = 'test
'
2026-05-12 11:28:42.156 | INFO     | controllers.sentiment_controller:analyse_sentiment:44 - Requête 96235ef0-466b-458e-b272-f186acf968b9 : Résultat = {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2026-05-13 10:36:00.990 | INFO     | controllers.sentiment_controller:analyse_sentiment:37 - Requête 1bb6b00b-f3c8-4907-b790-66a57f169793 : texte à analyser = 'hate trump'
2026-05-13 10:36:00.996 | INFO     | controllers.sentiment_controller:analyse_sentiment:46 - Requête 1bb6b00b-f3c8-4907-b790-66a57f169793 : Résultat = {'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.5719}
2026-05-13 10:36:58.774 | INFO     | controllers.sentiment_controller:analyse_sentiment:37 - Requête 67c650a0-5a4b-4ae3-a2e7-1ad21a4605e1 : texte à analyser = 'je déteste la kpop'
2026-05-13 10:36:58.780 | INFO     | controllers.sentiment_controller:analyse_sentiment:46 - Requête 67c650a0-5a4b-4ae3-a2e7-1ad21a4605e1 : Résultat = {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
